City,Population,Coordinates,Province/State,Area (kmÂ²),Latitude,Longitude,Page URL
Karachi,55396.0,"24.86000, 67.01000",Sindh,2160.0,24.86000,67.01000,https://en.wikipedia.org/wiki/Karachi
Sindh,,"26.350, 68.850",,,26.350,68.850,https://en.wikipedia.org/wiki/Sindh
Lahore,,"31.54972, 74.34361",Punjab,,31.54972,74.34361,https://en.wikipedia.org/wiki/Lahore
Faisalabad,,"31.41667, 73.09111",Punjab,,31.41667,73.09111,https://en.wikipedia.org/wiki/Faisalabad
Rawalpindi,,"33.600, 73.033",Babar Sarfraz Alpa (BPS-20 PSP),,33.600,73.033,https://en.wikipedia.org/wiki/Rawalpindi
Gujranwala,,"32.15667, 74.19000",Punjab,,32.15667,74.19000,https://en.wikipedia.org/wiki/Gujranwala
Multan,,"30.19778, 71.46972",Punjab,,30.19778,71.46972,https://en.wikipedia.org/wiki/Multan
Peshawar,,"34.01444, 71.56750",Khyber Pakhtunkhwa,,34.01444,71.56750,https://en.wikipedia.org/wiki/Peshawar
Khyber Pakhtunkhwa,,"34.00, 71.32","40,856,097",,34.00,71.32,https://en.wikipedia.org/wiki/Khyber_Pakhtunkhwa
Quetta,,"30.19583, 67.01722",Balochistan,,30.19583,67.01722,https://en.wikipedia.org/wiki/Quetta
Islamabad,,"33.69306, 73.06389",,,33.69306,73.06389,https://en.wikipedia.org/wiki/Islamabad
Islamabad Capital Territory,,"33.73750, 73.14750",$12.8 billion (2024),,33.73750,73.14750,https://en.wikipedia.org/wiki/Islamabad_Capital_Territory
Sargodha,,"32.08361, 72.67111",Punjab,,32.08361,72.67111,https://en.wikipedia.org/wiki/Sargodha
Sialkot,,"32.49250, 74.53111",Punjab,,32.49250,74.53111,https://en.wikipedia.org/wiki/Sialkot
Bahawalpur,,"29.39556, 71.68361",Punjab,,29.39556,71.68361,https://en.wikipedia.org/wiki/Bahawalpur
Jhang,,"31.26944, 72.31611",Punjab,,31.26944,72.31611,https://en.wikipedia.org/wiki/Jhang
Sheikhupura,,"31.71111, 73.98778",Punjab,,31.71111,73.98778,https://en.wikipedia.org/wiki/Sheikhupura
Sukkur,,"27.70611, 68.84833","Faisal Abdullah Chachar
 ( BPS-20 PSP )",,27.70611,68.84833,https://en.wikipedia.org/wiki/Sukkur
Larkana,,"27.55833, 68.21111",Mazhar Nawaz Shaikh ( BPS-20 PSP ),,27.55833,68.21111,https://en.wikipedia.org/wiki/Larkana
Sahiwal,,"30.66111, 73.10833",Punjab,,30.66111,73.10833,https://en.wikipedia.org/wiki/Sahiwal
Rahim Yar Khan,,"28.42000, 70.30000",Punjab,,28.42000,70.30000,https://en.wikipedia.org/wiki/Rahim_Yar_Khan
Kasur,,"31.11667, 74.45000",Punjab,,31.11667,74.45000,https://en.wikipedia.org/wiki/Kasur
Dera Ghazi Khan,,"30.03306, 70.64000",Derajat,,30.03306,70.64000,https://en.wikipedia.org/wiki/Dera_Ghazi_Khan
Wah Cantonment,,"33.7714, 72.7518",Punjab,,33.7714,72.7518,https://en.wikipedia.org/wiki/Wah_Cantonment
Mardan,,"34.201222, 72.02583",Khyber Pakhtunkhwa,,34.201222,72.02583,https://en.wikipedia.org/wiki/Mardan
Nawabshah,,"26.24417, 68.41000",Sindh,,26.24417,68.41000,https://en.wikipedia.org/wiki/Nawabshah
Burewala,,"30.15917, 72.68167",Punjab,,30.15917,72.68167,https://en.wikipedia.org/wiki/Burewala
Mingora,,"34.77167, 72.36000",Khyber Pakhtunkhwa,,34.77167,72.36000,https://en.wikipedia.org/wiki/Mingora
Hafizabad,,"32.07139, 73.68778",Punjab,,32.07139,73.68778,https://en.wikipedia.org/wiki/Hafizabad
Chiniot,,"31.71944, 72.98417",Punjab,,31.71944,72.98417,https://en.wikipedia.org/wiki/Chiniot
Jhelum,,"32.94250, 73.72556",Punjab,,32.94250,73.72556,https://en.wikipedia.org/wiki/Jhelum
Kamoke,,"31.97361, 74.22278",Punjab,,31.97361,74.22278,https://en.wikipedia.org/wiki/K%C4%81moke
Khanewal,,"30.300, 71.933",Punjab,,30.300,71.933,https://en.wikipedia.org/wiki/Khanewal
"Sadiqabad, Punjab",,"28.300, 70.117",Punjab,,28.300,70.117,"https://en.wikipedia.org/wiki/Sadiqabad,_Punjab"
Turbat,,"26.00417, 63.06056",Balochistan,,26.00417,63.06056,https://en.wikipedia.org/wiki/Turbat
Mirpur Khas,,"25.52500, 69.01583",Sindh,,25.52500,69.01583,https://en.wikipedia.org/wiki/Mirpur_Khas
Muridke,,"31.802, 74.255",Punjab,,31.802,74.255,https://en.wikipedia.org/wiki/Muridke
Khanpur Katora,,"28.650, 70.680",Punjab,,28.650,70.680,"https://en.wikipedia.org/wiki/Khanpur,_Rahim_Yar_Khan"
Bahawalnagar,,"29.99278, 73.25361",Punjab,,29.99278,73.25361,https://en.wikipedia.org/wiki/Bahawalnagar
Kohat,,"33.583, 71.433",Khyber Pakhtunkhwa,,33.583,71.433,https://en.wikipedia.org/wiki/Kohat
Muzaffargarh,,"30.07417, 71.19056",Punjab,,30.07417,71.19056,https://en.wikipedia.org/wiki/Muzaffargarh
Abbottabad,,"34.15583, 73.21944",Khyber Pakhtunkhwa,,34.15583,73.21944,https://en.wikipedia.org/wiki/Abbottabad
Mandi Bahauddin,,"32.57972, 73.48139",Punjab,,32.57972,73.48139,https://en.wikipedia.org/wiki/Mandi_Bahauddin
Daska,,"32.333, 74.350",Punjab,,32.333,74.350,https://en.wikipedia.org/wiki/Daska
Pakpattan,,"30.34417, 73.38389",Punjab,,30.34417,73.38389,https://en.wikipedia.org/wiki/Pakpattan
Dera Ismail Khan,763195.0,"31.83139, 70.90194",Khyber Pakhtunkhwa,,31.83139,70.90194,https://en.wikipedia.org/wiki/Dera_Ismail_Khan
Jacobabad,,"28.27694, 68.45139",Sindh,,28.27694,68.45139,https://en.wikipedia.org/wiki/Jacobabad
Chakwal,,"32.93028, 72.85556",Punjab,,32.93028,72.85556,https://en.wikipedia.org/wiki/Chakwal
Khuzdar,,"27.800, 66.617",Balochistan,,27.800,66.617,https://en.wikipedia.org/wiki/Khuzdar
Gojra,,"31.150, 72.683",Punjab,,31.150,72.683,https://en.wikipedia.org/wiki/Gojra
Vehari,,"30.04194, 72.35278",Punjab,,30.04194,72.35278,https://en.wikipedia.org/wiki/Vehari
"Shikarpur, Sindh",,"27.950, 68.650",Sindh,,27.950,68.650,"https://en.wikipedia.org/wiki/Shikarpur,_Sindh"
Ahmedpur East,,"29.14389, 71.25917",Punjab,,29.14389,71.25917,https://en.wikipedia.org/wiki/Ahmedpur_East
"Hub, Pakistan",,"25.067562000, 66.917038000",Balochistan,,25.067562000,66.917038000,"https://en.wikipedia.org/wiki/Hub,_Balochistan"
Chishtian,,"29.800, 72.833",Punjab,,29.800,72.833,https://en.wikipedia.org/wiki/Chishtian
Khairpur,,"27.533, 68.767",Sindh,,27.533,68.767,https://en.wikipedia.org/wiki/Khairpur
Samundri,,"31.06250, 72.95417",Punjab,,31.06250,72.95417,https://en.wikipedia.org/wiki/Samundri
Ferozewala,,"31.66917, 74.27389",Punjab,,31.66917,74.27389,https://en.wikipedia.org/wiki/Ferozewala
Attock,,"33.76667, 72.36667",Punjab,,33.76667,72.36667,https://en.wikipedia.org/wiki/Attock
Tando Adam Khan,,"25.768, 68.662",,,25.768,68.662,https://en.wikipedia.org/wiki/Tando_Adam_Khan
Tando Allahyar,,"25.46167, 68.71667",Sindh,,25.46167,68.71667,https://en.wikipedia.org/wiki/Tando_Allahyar
Jaranwala,,"31.33333, 73.41667",Punjab,,31.33333,73.41667,https://en.wikipedia.org/wiki/Jaranwala
Bholari,,"25.31667, 68.21667",Sindh,,25.31667,68.21667,https://en.wikipedia.org/wiki/Bholari
Muzaffarabad,,"34.35833, 73.47222",Azad Kashmir,,34.35833,73.47222,https://en.wikipedia.org/wiki/Muzaffarabad
Azad Kashmir,,"33.84333, 73.85139",,,33.84333,73.85139,https://en.wikipedia.org/wiki/Azad_Kashmir
Hasilpur,,"29.69167, 72.54528",Punjab,,29.69167,72.54528,https://en.wikipedia.org/wiki/Hasilpur
Kamalia,,"30.733, 72.650",Punjab,,30.733,72.650,https://en.wikipedia.org/wiki/Kamalia
Kot Abdul Malik,,"31.62384, 74.23702",Punjab,,31.62384,74.23702,https://en.wikipedia.org/wiki/Kot_Abdul_Malik
Panjgur,,"26.96833, 64.10139",Balochistan Province,,26.96833,64.10139,https://en.wikipedia.org/wiki/Panjgur
Arif Wala,157063.0,"30.29806, 73.05611",Punjab,,30.29806,73.05611,https://en.wikipedia.org/wiki/Arif_Wala
Gujranwala Cantonment,,,Punjab,,,,https://en.wikipedia.org/wiki/Gujranwala_Cantonment
Swabi,,"34.120155000, 72.470154000",Khyber Pakhtunkhwa,,34.120155000,72.470154000,https://en.wikipedia.org/wiki/Swabi
Jampur,,"29.38, 70.35",Punjab,,29.38,70.35,https://en.wikipedia.org/wiki/Jampur
Wazirabad,,"32.43528, 74.11417",Punjab,,32.43528,74.11417,https://en.wikipedia.org/wiki/Wazirabad
Layyah,,"30.96528, 70.94389",Punjab,,30.96528,70.94389,https://en.wikipedia.org/wiki/Layyah
Shujabad,,"29.87917, 71.30278",Punjab,,29.87917,71.30278,https://en.wikipedia.org/wiki/Shujabad
"Haroonabad, Bahawalnagar",,"29.60972, 73.13778",Punjab,,29.60972,73.13778,"https://en.wikipedia.org/wiki/Haroonabad,_Bahawalnagar"
Jalalpur Jattan,,"32.641944, 74.203306",Punjab,,32.641944,74.203306,https://en.wikipedia.org/wiki/Jalalpur_Jattan
Umerkot,,"25.36306, 69.74250",Sindh,,25.36306,69.74250,https://en.wikipedia.org/wiki/Umerkot
Lodhran,,"29.53333, 71.63333",Punjab,,29.53333,71.63333,https://en.wikipedia.org/wiki/Lodhran
Mian Channu,,"30.450, 72.367",Punjab,,30.450,72.367,https://en.wikipedia.org/wiki/Mian_Channu
Khushab,,"32.29861, 72.35083",Punjab,,32.29861,72.35083,https://en.wikipedia.org/wiki/Khushab
Rajanpur,,"29.10417, 70.32472",Punjab,,29.10417,70.32472,https://en.wikipedia.org/wiki/Rajanpur
Mansehra,,"34.33389, 73.20139",Khyber Pakhtunkhwa,,34.33389,73.20139,https://en.wikipedia.org/wiki/Mansehra
Taxila,,"33.74583, 72.78750",Punjab,,33.74583,72.78750,https://en.wikipedia.org/wiki/Taxila
"Mirpur, Azad Kashmir",,"33.150, 73.733",Azad Kashmir,,33.150,73.733,"https://en.wikipedia.org/wiki/Mirpur,_Azad_Kashmir"
"Kabal, Khyber Pakhtunkhwa",,"34.783, 72.283",Khyber Pakhtunkhwa,,34.783,72.283,"https://en.wikipedia.org/wiki/Kabal,_Khyber_Pakhtunkhwa"
Bhakkar,,"31.62778, 71.06250",Punjab,,31.62778,71.06250,https://en.wikipedia.org/wiki/Bhakkar
Narowal,,"32.10000, 74.87472",Punjab,,32.10000,74.87472,https://en.wikipedia.org/wiki/Narowal
Chaman,,"30.92222, 66.44472",Balochistan,,30.92222,66.44472,https://en.wikipedia.org/wiki/Chaman
Mianwali,,"32.58528, 71.54361",Punjab,,32.58528,71.54361,https://en.wikipedia.org/wiki/Mianwali
Shakargarh,,"32.26278, 75.15833",Punjab,,32.26278,75.15833,https://en.wikipedia.org/wiki/Shakargarh
Mailsi,,"29.80028, 72.17583",Punjab,,29.80028,72.17583,https://en.wikipedia.org/wiki/Mailsi
"Nowshera, Khyber Pakhtunkhwa",,"34.01528, 71.97472",Khyber Pakhtunkhwa,,34.01528,71.97472,"https://en.wikipedia.org/wiki/Nowshera,_Khyber_Pakhtunkhwa"
Dipalpur,,"30.67083, 73.65333",Punjab,,30.67083,73.65333,https://en.wikipedia.org/wiki/Dipalpur
Haveli Lakha,,,Punjab,,,,https://en.wikipedia.org/wiki/Haveli_Lakha
Lalamusa,,"32.70028, 73.95778",Punjab,,32.70028,73.95778,https://en.wikipedia.org/wiki/Lalamusa
Shahdadkot,120687.0,,Sindh,,,,https://en.wikipedia.org/wiki/Shahdadkot
Charsadda,,"34.15000, 71.73333",Khyber Pakhtunkhwa,,34.15000,71.73333,https://en.wikipedia.org/wiki/Charsadda
Ghotki,,"28.1, 69.19",Sindh,,28.1,69.19,https://en.wikipedia.org/wiki/Ghotki
Sambrial,,"32.16, 74.40",Punjab,,32.16,74.40,https://en.wikipedia.org/wiki/Sambrial
Bhalwal,,"32.26556, 72.89944",Punjab,,32.26556,72.89944,https://en.wikipedia.org/wiki/Bhalwal
Badin,,"24.65722, 68.84056",Sindh,,24.65722,68.84056,https://en.wikipedia.org/wiki/Badin
Taunsa,,"30.70556, 70.65778",Punjab,,30.70556,70.65778,https://en.wikipedia.org/wiki/Taunsa
Barikot,,"34.677471, 72.211675",Khyber Pakhtunkhwa,,34.677471,72.211675,https://en.wikipedia.org/wiki/Barikot
Phool Nagar,,"31.2050, 73.9430",Punjab,,31.2050,73.9430,https://en.wikipedia.org/wiki/Phool_Nagar
Tando Muhammad Khan,,"25.12389, 68.53889",Sindh,,25.12389,68.53889,https://en.wikipedia.org/wiki/Tando_Muhammad_Khan
Pattoki,,"31.017, 73.850",Punjab,,31.017,73.850,https://en.wikipedia.org/wiki/Pattoki
Shahdadpur,,"25.92278, 68.62056",Sindh,,25.92278,68.62056,https://en.wikipedia.org/wiki/Shahdadpur
Jauharabad,,"32.29194, 72.27361",Punjab,,32.29194,72.27361,https://en.wikipedia.org/wiki/Jauharabad
Kamber Ali Khan,,"27.58684, 68.00187",Sindh,,27.58684,68.00187,https://en.wikipedia.org/wiki/Kamber_Ali_Khan
Chichawatni,,"30.533, 72.700",Punjab,,30.533,72.700,https://en.wikipedia.org/wiki/Chichawatni
Farooqabad,,"31.74430, 73.83342",Punjab,,31.74430,73.83342,https://en.wikipedia.org/wiki/Farooqabad
Dera Murad Jamali,,"28.54444, 68.22056",Balochistan,,28.54444,68.22056,https://en.wikipedia.org/wiki/Dera_Murad_Jamali
Kotri,,"25.373964, 68.301315",Sindh,,25.373964,68.301315,https://en.wikipedia.org/wiki/Kotri
Sangla Hill,,"31.71333, 73.37444",Punjab,,31.71333,73.37444,https://en.wikipedia.org/wiki/Sangla_Hill
Gujar Khan,,"33.253, 73.304",Punjab,,33.253,73.304,https://en.wikipedia.org/wiki/Gujar_Khan
Kharian,,"32.81083, 73.86472",Punjab,,32.81083,73.86472,https://en.wikipedia.org/wiki/Kharian
Pasrur,,"32.26373, 74.66276",Punjab,,32.26373,74.66276,https://en.wikipedia.org/wiki/Pasrur
Shabqadar,,"34.20544000, 71.583318000",Khyber Pakhtunkhwa,,34.20544000,71.583318000,https://en.wikipedia.org/wiki/Shabqadar
Kot Radha Kishan,,"31.17250, 74.09972",Punjab,,31.17250,74.09972,https://en.wikipedia.org/wiki/Kot_Radha_Kishan
Ladhe Wala Waraich,,"32.157755, 74.115244",Punjab,,32.157755,74.115244,https://en.wikipedia.org/wiki/Ludhewala_Waraich
Renala Khurd,,"30.883, 73.600",Punjab,,30.883,73.600,https://en.wikipedia.org/wiki/Renala_Khurd
Murree,,"33.90417, 73.39028",Punjab,,33.90417,73.39028,https://en.wikipedia.org/wiki/Murree
Toba Tek Singh,,"30.97111, 72.48250",Punjab,,30.97111,72.48250,https://en.wikipedia.org/wiki/Toba_Tek_Singh
Talagang,,"32.92778, 72.41111",Punjab,,32.92778,72.41111,https://en.wikipedia.org/wiki/Talagang
"Hyderabad, Pakistan",,"25.37917, 68.36833",Sindh,,25.37917,68.36833,"https://en.wikipedia.org/wiki/Hyderabad,_Sindh"
Thatta,,"24.74611, 67.92444",Sindh,,24.74611,67.92444,https://en.wikipedia.org/wiki/Thatta
Bannu,,"32.98639, 70.60444",Khyber Pakhtunkhwa,,32.98639,70.60444,https://en.wikipedia.org/wiki/Bannu
Battagram,,"34.683, 73.017",Khyber Pakhtunkhwa,,34.683,73.017,https://en.wikipedia.org/wiki/Battagram
Chitral,,"35.84611, 71.78583",Khowar (Chitrali) [ 4 ],,35.84611,71.78583,https://en.wikipedia.org/wiki/Chitral
Timergara,,"34.82778, 71.84167",Khyber Pakhtunkhwa,,34.82778,71.84167,https://en.wikipedia.org/wiki/Timergara
Tank (city),,"32.13, 70.23",Khyber Pakhtunkhwa,,32.13,70.23,https://en.wikipedia.org/wiki/Tank_(city)
Gwadar,,"25.12639, 62.32250",Balochistan,,25.12639,62.32250,https://en.wikipedia.org/wiki/Gwadar
Ziarat,,"30.3810, 67.7270",Balochistan,,30.3810,67.7270,https://en.wikipedia.org/wiki/Ziarat
"Bagh, Azad Kashmir",,"33.9735, 73.7918",Azad Kashmir,,33.9735,73.7918,"https://en.wikipedia.org/wiki/Bagh,_Azad_Kashmir"
Bhimber,,"32.97472, 74.07306",Azad Kashmir,,32.97472,74.07306,https://en.wikipedia.org/wiki/Bhimber
Kotli,,,Azad Kashmir,,,,https://en.wikipedia.org/wiki/Kotli
Rawalakot,,"33.8534056, 73.7514750",Azad Kashmir,,33.8534056,73.7514750,https://en.wikipedia.org/wiki/Rawalakot
Gilgit-Baltistan,,"35.35, 75.9",,,35.35,75.9,https://en.wikipedia.org/wiki/Gilgit-Baltistan
Gilgit,,"35.92083, 74.30833",,,35.92083,74.30833,https://en.wikipedia.org/wiki/Gilgit
Skardu,,"35.29028, 75.64444",,,35.29028,75.64444,https://en.wikipedia.org/wiki/Skardu
